frame,time_s,x,y,z,conf
0,0.000,0.00,0.00,0.00000,NaN
1,0.033,0.00,0.00,0.00000,NaN
2,0.067,0.00,0.00,0.00000,NaN
3,0.100,0.00,0.00,0.00000,NaN
4,0.133,400.94,265.45,0.00256,0.263
5,0.167,406.73,269.38,0.00255,0.279
6,0.200,409.01,270.90,0.00256,NaN
7,0.233,411.17,272.38,0.00255,0.275
8,0.267,413.44,273.89,0.00255,NaN
9,0.300,415.71,275.40,0.00256,NaN
10,0.333,417.98,276.91,0.00256,NaN
11,0.367,420.26,278.42,0.00257,NaN
12,0.400,422.53,279.94,0.00258,NaN
13,0.433,424.80,281.45,0.00258,NaN
14,0.467,427.07,282.96,0.00259,NaN
15,0.500,416.84,276.04,0.00256,0.263
16,0.533,415.57,275.54,0.00255,0.302
17,0.567,414.02,275.67,0.00253,0.301
18,0.600,413.50,276.07,0.00255,0.308
19,0.633,412.30,276.27,0.00254,0.284
20,0.667,413.16,277.02,0.00254,NaN
21,0.700,414.01,277.77,0.00254,NaN
22,0.733,414.86,278.52,0.00254,NaN
23,0.767,415.72,279.27,0.00255,NaN
24,0.800,416.57,280.02,0.00255,NaN
25,0.833,417.43,280.77,0.00255,NaN
26,0.867,412.30,275.48,0.00255,0.267
27,0.900,411.45,274.43,0.00253,0.282
28,0.933,411.98,274.84,0.00253,NaN
29,0.967,412.50,275.25,0.00254,NaN
30,1.000,413.02,275.66,0.00254,NaN
31,1.033,410.00,272.76,0.00260,0.277
32,1.067,410.38,273.04,0.00260,NaN
33,1.100,410.76,273.32,0.00260,NaN
34,1.133,411.14,273.59,0.00261,NaN
35,1.167,411.50,272.04,0.00255,0.254
36,1.200,411.88,272.25,0.00255,NaN
37,1.233,412.26,272.46,0.00255,NaN
38,1.267,412.64,272.66,0.00256,NaN
39,1.300,413.02,272.87,0.00256,NaN
40,1.333,413.40,273.08,0.00256,NaN
41,1.367,413.77,273.29,0.00256,NaN
42,1.400,414.15,273.50,0.00256,NaN
43,1.433,414.53,273.71,0.00256,NaN
44,1.467,414.91,273.92,0.00256,NaN
45,1.500,415.29,274.12,0.00256,NaN
46,1.533,415.67,274.33,0.00256,NaN
47,1.567,416.05,274.54,0.00257,NaN
48,1.600,416.42,274.75,0.00257,NaN
49,1.633,416.80,274.96,0.00257,NaN
50,1.667,417.18,275.17,0.00257,NaN
51,1.700,417.56,275.38,0.00257,NaN
52,1.733,417.94,275.59,0.00257,NaN
53,1.767,418.32,275.79,0.00257,NaN
54,1.800,418.70,276.00,0.00257,NaN
55,1.833,419.08,276.21,0.00257,NaN
56,1.867,411.73,272.26,0.00229,0.304
57,1.900,410.61,271.89,0.00226,0.254
58,1.933,411.16,271.94,0.00229,0.266
59,1.967,411.32,272.03,0.00228,NaN
60,2.000,411.48,272.12,0.00227,NaN
61,2.033,420.28,273.16,0.00248,0.265
62,2.067,420.70,273.27,0.00248,NaN
63,2.100,421.13,273.39,0.00248,NaN
64,2.133,375.63,380.01,0.02216,0.385
65,2.167,374.65,383.39,0.02280,NaN
66,2.200,373.66,386.77,0.02345,NaN
67,2.233,372.68,390.15,0.02410,NaN
68,2.267,371.70,393.53,0.02474,NaN
69,2.300,370.71,396.92,0.02539,NaN
70,2.333,369.73,400.30,0.02604,NaN
71,2.367,368.75,403.68,0.02669,NaN
72,2.400,367.76,407.06,0.02733,NaN
73,2.433,366.78,410.44,0.02798,NaN
74,2.467,365.80,413.83,0.02863,NaN
75,2.500,216.85,439.15,0.00293,0.294
76,2.533,196.17,443.84,0.00277,0.418
77,2.567,186.87,445.83,0.00275,0.394
78,2.600,181.29,447.72,0.00275,0.436
79,2.633,177.95,448.93,0.00275,0.482
80,2.667,175.95,449.63,0.00276,0.493
81,2.700,174.80,449.96,0.00276,0.492
82,2.733,174.04,449.84,0.00276,0.508
83,2.767,173.67,449.94,0.00276,0.299
84,2.800,173.57,449.92,0.00276,0.327
85,2.833,173.65,449.85,0.00276,0.289
86,2.867,173.79,449.75,0.00276,0.272
87,2.900,173.97,449.63,0.00276,0.275
88,2.933,174.20,449.48,0.00276,0.295
89,2.967,174.46,449.33,0.00276,0.318
90,3.000,174.76,449.14,0.00276,0.314
91,3.033,174.99,448.96,0.00276,0.299
92,3.067,175.22,448.85,0.00276,0.314
93,3.100,175.42,448.75,0.00276,0.304
94,3.133,175.60,448.63,0.00276,0.322
95,3.167,175.80,448.47,0.00276,0.281
96,3.200,176.04,448.32,0.00277,0.281
