frame,time_s,x,y,z,conf,audio_rms,centroid_hz,peak_hz,est_rpm
0,0.000,0.00,0.00,0.00000,NaN,0.049793,1487.84,129.20,nan
1,0.033,0.00,0.00,0.00000,NaN,0.063742,1487.56,118.43,nan
2,0.067,0.00,0.00,0.00000,NaN,0.066985,1473.16,118.43,nan
3,0.100,0.00,0.00,0.00000,NaN,0.066986,1382.16,118.43,nan
4,0.133,0.00,0.00,0.00000,NaN,0.066364,1341.07,118.43,nan
5,0.167,943.38,600.39,0.00113,0.263,0.061878,1379.25,118.43,nan
6,0.200,956.88,609.60,0.00113,0.913,0.056371,646.62,118.43,nan
7,0.233,962.16,613.56,0.00113,0.975,0.054870,358.59,118.43,nan
8,0.267,963.85,615.58,0.00113,0.980,0.059393,367.90,118.43,nan
9,0.300,963.29,616.41,0.00113,0.976,0.061280,338.67,118.43,nan
10,0.333,961.51,616.49,0.00113,0.972,0.062097,322.86,118.43,nan
11,0.367,959.03,615.70,0.00113,0.975,0.062403,335.08,118.43,nan
12,0.400,955.98,614.40,0.00113,0.980,0.064610,366.19,118.43,nan
13,0.433,952.84,612.62,0.00113,0.981,0.063630,392.28,118.43,nan
14,0.467,949.71,610.77,0.00113,0.985,0.062347,423.55,118.43,nan
15,0.500,946.62,608.71,0.00113,0.957,0.067132,466.70,118.43,nan
16,0.533,943.38,606.74,0.00113,0.983,0.086324,402.11,118.43,nan
17,0.567,940.47,604.85,0.00113,0.978,0.117256,343.57,118.43,nan
18,0.600,937.78,603.21,0.00113,0.973,0.152539,326.02,91.31,nan
19,0.633,935.26,601.74,0.00113,0.988,0.187816,267.77,86.13,nan
20,0.667,932.84,600.40,0.00112,0.965,0.247169,179.09,93.79,nan
21,0.700,930.50,599.13,0.00112,0.982,0.311334,111.30,109.24,nan
22,0.733,928.21,598.31,0.00112,0.967,0.333819,114.72,118.43,nan
23,0.767,926.36,597.78,0.00112,0.964,0.338697,116.97,118.43,nan
24,0.800,924.00,597.24,0.00112,0.989,0.338938,115.48,123.31,nan
25,0.833,921.33,597.28,0.00112,0.978,0.365843,108.95,129.20,nan
26,0.867,918.85,597.69,0.00112,0.978,0.386566,104.20,129.20,nan
27,0.900,916.51,598.34,0.00112,0.936,0.393765,104.21,129.20,nan
28,0.933,914.44,599.13,0.00112,0.968,0.374385,103.04,129.20,nan
29,0.967,912.94,600.02,0.00112,0.993,0.361533,101.58,129.20,nan
30,1.000,911.80,600.77,0.00112,0.979,0.370795,103.33,129.20,nan
31,1.033,911.10,601.25,0.00112,0.979,0.378428,111.26,129.20,nan
32,1.067,910.66,601.35,0.00112,0.993,0.377604,104.44,129.20,nan
33,1.100,910.40,601.02,0.00113,0.993,0.368295,103.57,129.20,nan
34,1.133,910.05,600.22,0.00113,0.992,0.377867,105.96,129.20,nan
35,1.167,909.46,598.75,0.00112,0.992,0.379398,108.63,129.20,nan
36,1.200,908.91,596.84,0.00112,0.992,0.376969,115.45,129.20,nan
37,1.233,908.37,594.46,0.00112,0.984,0.372521,128.95,129.20,nan
38,1.267,907.86,591.79,0.00113,0.992,0.377189,116.97,129.20,nan
